,Title,Authors,Journal,Year,Link Abstract,Link HTML,Link PDF
34,"Highly-sensitive, Bloch-surface-wave Induced Giant Goos-Hanchen Shift Sensing","Kong, Weijing; Wan, Yuhang; Zheng, Zheng","CLEO: Science and Innovations, Paper# CTh4L.6 ",2012,https://www.osapublishing.org/abstract.cfm?uri=cleo_si-2012-CTh4L.6&origin=search,,https://www.osapublishing.org/viewmedia.cfm?URI=cleo_si-2012-CTh4L.6&seq=0&origin=search
35,Temperature-dependent Goos-Hänchen shift on the interface of metal/dielectric composites,"Zhao, Bin; Gao, Lei",Optics Express 17(24) 21433-21441 ,2009,https://www.osapublishing.org/oe/abstract.cfm?uri=oe-17-24-21433&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-17-24-21433&seq=0&html=true&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-17-24-21433&seq=0&origin=search
36,Refraction and Goos-Hänchen Shifts of Spatial Solitons at Cubic-Quintic Interfaces,"McCoy, Emily A.; Christian, James M.; McDonald, Graham S.; Sánchez-Curto, Julio; Chamorro-Posada, Pedro","Nonlinear Optics: Materials, Fundamentals and Applications, Paper# NW2A.3 ",2013,https://www.osapublishing.org/abstract.cfm?uri=nlo-2013-NW2A.3&origin=search,,https://www.osapublishing.org/viewmedia.cfm?URI=nlo-2013-NW2A.3&seq=0&origin=search
37,Goos–Hänchen beam shift at total internal reflection,"Seshadri, S. R.",Journal of the Optical Society of America A 5(4) 583-585 ,1988,https://www.osapublishing.org/josaa/abstract.cfm?uri=josaa-5-4-583&origin=search,https://www.osapublishing.org/josaa/viewmedia.cfm?URI=josaa-5-4-583&seq=0&html=true&origin=search,https://www.osapublishing.org/josaa/viewmedia.cfm?URI=josaa-5-4-583&seq=0&origin=search
38,Goos–Hänchen and Imbert–Fedorov shifts for leaky guided modes,"Pillon, Frank; Gilles, Hervé; Girard, Sylvain; Laroche, Mathieu; Kaiser, Robin; Gazibegovic, Azra",Journal of the Optical Society of America B 22(6) 1290-1299 ,2005,https://www.osapublishing.org/josab/abstract.cfm?uri=josab-22-6-1290&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-22-6-1290&seq=0&html=true&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-22-6-1290&seq=0&origin=search
39,Weak value amplification of an off-resonance Goos–Hänchen shift in a Kretschmann–Raether surface plasmon resonance device,"Parks, A. D.; Spence, S. E.",Applied Optics 54(18) 5872-5876 ,2015,https://www.osapublishing.org/ao/abstract.cfm?uri=ao-54-18-5872&origin=search,https://www.osapublishing.org/ao/viewmedia.cfm?URI=ao-54-18-5872&seq=0&html=true&origin=search,https://www.osapublishing.org/ao/viewmedia.cfm?URI=ao-54-18-5872&seq=0&origin=search
40,Large positive and negative generalized Goos–Hänchen shifts from a double negative metamaterial slab backed by a metal,"Cheng, Min; Zhou, Yingwu; Li, Yuliang; Li, Xuemei",Journal of the Optical Society of America B 25(5) 773-776 ,2008,https://www.osapublishing.org/josab/abstract.cfm?uri=josab-25-5-773&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-25-5-773&seq=0&html=true&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-25-5-773&seq=0&origin=search
41,Effect of damping on Goos–Hänchen shift from weakly absorbing anisotropic metamaterials,"Chern, Ruey-Lin",Journal of the Optical Society of America B 31(5) 1174-1181 ,2014,https://www.osapublishing.org/josab/abstract.cfm?uri=josab-31-5-1174&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-31-5-1174&seq=0&html=true&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-31-5-1174&seq=0&origin=search
42,Optimized weak measurements of Goos–Hänchen and Imbert–Fedorov shifts in partial reflection,"Goswami, S.; Dhara, S.; Pal, M.; Nandi, A.; Panigrahi, P. K.; Ghosh, N.",Optics Express 24(6) 6041-6051 ,2016,https://www.osapublishing.org/oe/abstract.cfm?uri=oe-24-6-6041&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-24-6-6041&seq=0&html=true&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-24-6-6041&seq=0&origin=search
43,Effect of the Goos–Hänchen shift on the geometrical-optics model for spherical-cavity mode spacing,"Chowdhury, D. Q.; Leach, D. H.; Chang, R. K.",Journal of the Optical Society of America A 11(3) 1110-1116 ,1994,https://www.osapublishing.org/josaa/abstract.cfm?uri=josaa-11-3-1110&origin=search,https://www.osapublishing.org/josaa/viewmedia.cfm?URI=josaa-11-3-1110&seq=0&html=true&origin=search,https://www.osapublishing.org/josaa/viewmedia.cfm?URI=josaa-11-3-1110&seq=0&origin=search
